meas,y,m,kvfb,zone
1569,2020,1,KNFB,wsu
821,2020,1,KNFB,eas
2767,2020,1,KPFB,wsu
2135,2020,1,KPFB,eas
1741,2020,2,KNFB,wsu
851,2020,2,KNFB,eas
2578,2020,2,KPFB,wsu
2124,2020,2,KPFB,eas
1944,2020,3,KNFB,wsu
902,2020,3,KNFB,eas
2121,2020,3,KPFB,eas
2674,2020,3,KPFB,wsu
2129,2020,4,KNFB,wsu
1005,2020,4,KNFB,eas
2613,2020,4,KPFB,wsu
2112,2020,4,KPFB,eas
2267,2020,5,KNFB,wsu
1067,2020,5,KNFB,eas
2506,2020,5,KPFB,wsu
2068,2020,5,KPFB,eas
2409,2020,6,KNFB,wsu
1114,2020,6,KNFB,eas
2458,2020,6,KPFB,wsu
2044,2020,6,KPFB,eas
2424,2020,7,KNFB,wsu
1248,2020,7,KNFB,eas
2412,2020,7,KPFB,wsu
2025,2020,7,KPFB,eas
2546,2020,8,KNFB,wsu
1384,2020,8,KNFB,eas
2365,2020,8,KPFB,wsu
2022,2020,8,KPFB,eas
2687,2020,9,KNFB,wsu
1510,2020,9,KNFB,eas
2335,2020,9,KPFB,wsu
1999,2020,9,KPFB,eas
2904,2020,10,KNFB,wsu
1906,2020,10,KNFB,eas
2266,2020,10,KPFB,wsu
1950,2020,10,KPFB,eas
2907,2020,11,KNFB,wsu
2221,2020,11,KNFB,eas
2242,2020,11,KPFB,wsu
1925,2020,11,KPFB,eas
3023,2020,12,KNFB,wsu
2319,2020,12,KNFB,eas
2164,2020,12,KPFB,wsu
1878,2020,12,KPFB,eas
3154,2021,1,KNFB,eas
2446,2021,1,KNFB,eas
2002,2021,1,KPFB,wsu
1825,2021,1,KPFB,eas
3233,2021,2,KNFB,wsu
2474,2021,2,KNFB,eas
1942,2021,2,KPFB,wsu
1764,2021,2,KPFB,eas
3366,2021,3,KNFB,wsu
2412,2021,3,KNFB,eas
1871,2021,3,KPFB,wsu
1740,2021,3,KPFB,eas
3463,2021,4,KNFB,wsu
2449,2021,4,KNFB,eas
1793,2021,4,KPFB,wsu
1669,2021,4,KPFB,eas
3529,2021,5,KNFB,eas
2522,2021,5,KNFB,eas
1649,2021,5,KPFB,eas
1629,2021,5,KPFB,wsu
3574,2021,6,KNFB,eas
2624,2021,6,KNFB,eas
1502,2021,6,KPFB,wsu
1573,2021,6,KPFB,eas
3548,2021,7,KNFB,wsu
2598,2021,7,KNFB,eas
1267,2021,7,KPFB,wsu
1496,2021,7,KPFB,eas
3523,2021,8,KNFB,wsu
2657,2021,8,KNFB,eas
1050,2021,8,KPFB,wsu
1358,2021,8,KPFB,eas
3522,2021,9,KNFB,wsu
2697,2021,9,KNFB,eas
1001,2021,9,KPFB,wsu
1244,2021,9,KPFB,eas
3539,2021,10,KNFB,wsu
2702,2021,10,KNFB,eas
928,2021,10,KPFB,wsu
1165,2021,10,KPFB,eas
3569,2021,11,KNFB,wsu
2688,2021,11,KNFB,eas
843,2021,11,KPFB,wsu
1084,2021,11,KPFB,eas
3594,2021,12,KNFB,wsu
2704,2021,12,KNFB,eas
800,2021,12,KPFB,wsu
1006,2021,12,KPFB,eas
3579,2022,1,KNFB,wsu
2716,2022,1,KNFB,eas
713,2022,1,KPFB,wsu
861,2022,1,KPFB,eas
2771,2022,2,KNFB,eas
3624,2022,2,KNFB,wsu
692,2022,2,KPFB,wsu
828,2022,2,KPFB,eas
3619,2022,3,KNFB,wsu
2819,2022,3,KNFB,eas
621,2022,3,KPFB,wsu
673,2022,3,KPFB,eas
3642,2022,4,KNFB,wsu
2849,2022,4,KNFB,eas
553,2022,4,KPFB,wsu
618,2022,4,KPFB,eas
3635,2022,5,KNFB,wsu
2921,2022,5,KNFB,eas
526,2022,5,KPFB,wsu
581,2022,5,KPFB,eas
3675,2022,6,KNFB,wsu
2999,2022,6,KNFB,eas
454,2022,6,KPFB,wsu
547,2022,6,KPFB,eas
3833,2022,7,KNFB,wsu
3032,2022,7,KNFB,eas
411,2022,7,KPFB,wsu
503,2022,7,KPFB,eas
3831,2022,8,KNFB,wsu
3054,2022,8,KNFB,eas
384,2022,8,KPFB,wsu
433,2022,8,KPFB,eas
3840,2022,9,KNFB,wsu
3091,2022,9,KNFB,eas
370,2022,9,KPFB,wsu
474,2022,9,KPFB,eas
3859,2022,10,KNFB,wsu
3102,2022,10,KNFB,eas
462,2022,10,KPFB,eas
350,2022,10,KPFB,wsu
3106,2022,11,KNFB,eas
3935,2022,11,KNFB,wsu
331,2022,11,KPFB,wsu
445,2022,11,KPFB,eas
3928,2022,12,KNFB,wsu
3088,2022,12,KNFB,eas
317,2022,12,KPFB,wsu
396,2022,12,KPFB,eas
3926,2023,1,KNFB,wsu
3096,2023,1,KNFB,eas
294,2023,1,KPFB,wsu
307,2023,1,KPFB,eas
3,2023,1,KTFB,wsu
3962,2023,2,KNFB,eas
3098,2023,2,KNFB,wsu
256,2023,2,KPFB,eas
273,2023,2,KPFB,wsu
2,2023,2,KTFB,wsu
3098,2023,3,KNFB,eas
3962,2023,3,KNFB,wsu
248,2023,3,KPFB,eas
262,2023,3,KPFB,wsu
3,2023,3,KTFB,eas
4112,2023,4,KNFB,wsu
3102,2023,4,KNFB,eas
253,2023,4,KPFB,wsu
211,2023,4,KPFB,wsu
6,2023,4,KTFB,eas
6,2023,5,KTFB,eas
4105,2023,5,KNFB,wsu
3081,2023,5,KNFB,eas
243,2023,5,KPFB,wsu
4132,2023,6,KNFB,wsu
3080,2023,6,KNFB,eas
200,2023,5,KPFB,eas
226,2023,6,KPFB,wsu
183,2023,6,KPFB,eas
5,2023,6,KTFB,wsu
20,2023,6,KTFB,eas
4018,2023,7,KNFB,wsu
3011,2023,7,KNFB,eas
216,2023,7,KPFB,wsu
150,2023,7,KPFB,eas
19,2023,7,KTFB,wsu
21,2023,7,KTFB,eas
3925,2023,8,KNFB,wsu
2862,2023,8,KNFB,eas
214,2023,8,KPFB,wsu
150,2023,8,KPFB,eas
14,2023,8,KTFB,wsu
38,2023,8,KTFB,eas
3928,2023,9,KNFB,wsu
2794,2023,9,KNFB,eas
206,2023,9,KPFB,wsu
146,2023,9,KPFB,eas
17,2023,9,KTFB,wsu
42,2023,9,KTFB,eas
3879,2023,10,KNFB,wsu
2734,2023,10,KNFB,eas
200,2023,10,KPFB,wsu
145,2023,10,KPFB,eas
17,2023,10,KTFB,wsu
53,2023,10,KTFB,eas
3788,2023,11,KNFB,wsu
2637,2023,11,KNFB,eas
187,2023,11,KPFB,wsu
69,2023,11,KPFB,eas
44,2023,11,KTFB,eas
3773,2023,12,KNFB,wsu
2683,2023,12,KNFB,eas
175,2023,12,KPFB,wsu
69,2023,12,KPFB,eas
13,2023,12,KTFB,wsu
46,2023,12,KTFB,eas
3766,2024,1,KNFB,wsu
2513,2024,1,KNFB,eas
162,2024,1,KPFB,wsu
