date,y,m,d,meas,kvfb,zone
2020-01-01,2020,1,1,816.88,KNFB,eas
2020-01-01,2020,1,1,1559.74,KNFB,wsu
2020-01-01,2020,1,1,2176.62,KPFB,eas
2020-01-01,2020,1,1,2771.88,KPFB,wsu
2020-01-02,2020,1,2,836.79,KNFB,eas
2020-01-02,2020,1,2,1596.05,KNFB,wsu
2020-01-02,2020,1,2,2129.87,KPFB,eas
2020-01-02,2020,1,2,2787.46,KPFB,wsu
2020-01-03,2020,1,3,830.57,KNFB,eas
2020-01-03,2020,1,3,1578.28,KNFB,wsu
2020-01-03,2020,1,3,2137.01,KPFB,eas
2020-01-03,2020,1,3,2783.12,KPFB,wsu
2020-01-04,2020,1,4,827.15,KNFB,eas
2020-01-04,2020,1,4,1616.03,KNFB,wsu
2020-01-04,2020,1,4,2165.83,KPFB,eas
2020-01-04,2020,1,4,2760.44,KPFB,wsu
2020-01-05,2020,1,5,813.52,KNFB,eas
2020-01-05,2020,1,5,1599.73,KNFB,wsu
2020-01-05,2020,1,5,2175.87,KPFB,eas
2020-01-05,2020,1,5,2706.06,KPFB,wsu
2020-01-06,2020,1,6,814.47,KNFB,eas
2020-01-06,2020,1,6,1572.87,KNFB,wsu
2020-01-06,2020,1,6,2140.28,KPFB,eas
2020-01-06,2020,1,6,2769.07,KPFB,wsu
2020-01-07,2020,1,7,812.19,KNFB,eas
2020-01-07,2020,1,7,1613.58,KNFB,wsu
2020-01-07,2020,1,7,2159.53,KPFB,eas
2020-01-07,2020,1,7,2754.46,KPFB,wsu
2020-01-08,2020,1,8,839.9,KNFB,eas
2020-01-08,2020,1,8,1596.59,KNFB,wsu
2020-01-08,2020,1,8,2117.75,KPFB,eas
2020-01-08,2020,1,8,2679.22,KPFB,wsu
2020-01-09,2020,1,9,832.09,KNFB,eas
2020-01-09,2020,1,9,1625.41,KNFB,wsu
2020-01-09,2020,1,9,2115.59,KPFB,eas
2020-01-09,2020,1,9,2714.29,KPFB,wsu
2020-01-10,2020,1,10,836.62,KNFB,eas
2020-01-10,2020,1,10,1591.07,KNFB,wsu
2020-01-10,2020,1,10,2123.51,KPFB,eas
2020-01-10,2020,1,10,2676.76,KPFB,wsu
2020-01-11,2020,1,11,814.75,KNFB,eas
2020-01-11,2020,1,11,1603.36,KNFB,wsu
2020-01-11,2020,1,11,2146.16,KPFB,eas
2020-01-11,2020,1,11,2688.44,KPFB,wsu
2020-01-12,2020,1,12,847.28,KNFB,eas
2020-01-12,2020,1,12,1653.23,KNFB,wsu
2020-01-12,2020,1,12,2146.63,KPFB,eas
2020-01-12,2020,1,12,2647.89,KPFB,wsu
2020-01-13,2020,1,13,843.68,KNFB,eas
2020-01-13,2020,1,13,1617.73,KNFB,wsu
2020-01-13,2020,1,13,2114.99,KPFB,eas
2020-01-13,2020,1,13,2683.1,KPFB,wsu
2020-01-14,2020,1,14,823.99,KNFB,eas
2020-01-14,2020,1,14,1663.25,KNFB,wsu
2020-01-14,2020,1,14,2099.13,KPFB,eas
2020-01-14,2020,1,14,2693.1,KPFB,wsu
2020-01-15,2020,1,15,823.93,KNFB,eas
2020-01-15,2020,1,15,1632.14,KNFB,wsu
2020-01-15,2020,1,15,2141.31,KPFB,eas
2020-01-15,2020,1,15,2694.47,KPFB,wsu
2020-01-16,2020,1,16,824.94,KNFB,eas
2020-01-16,2020,1,16,1661.67,KNFB,wsu
2020-01-16,2020,1,16,2098.02,KPFB,eas
2020-01-16,2020,1,16,2693.05,KPFB,wsu
2020-01-17,2020,1,17,829.93,KNFB,eas
2020-01-17,2020,1,17,1670.65,KNFB,wsu
2020-01-17,2020,1,17,2136.01,KPFB,eas
2020-01-17,2020,1,17,2705.36,KPFB,wsu
2020-01-18,2020,1,18,838.28,KNFB,eas
2020-01-18,2020,1,18,1664.16,KNFB,wsu
2020-01-18,2020,1,18,2145.44,KPFB,eas
2020-01-18,2020,1,18,2633.04,KPFB,wsu
2020-01-19,2020,1,19,836.14,KNFB,eas
2020-01-19,2020,1,19,1655.87,KNFB,wsu
2020-01-19,2020,1,19,2145.69,KPFB,eas
2020-01-19,2020,1,19,2616.92,KPFB,wsu
2020-01-20,2020,1,20,832.38,KNFB,eas
2020-01-20,2020,1,20,1655.17,KNFB,wsu
2020-01-20,2020,1,20,2149.84,KPFB,eas
2020-01-20,2020,1,20,2688.44,KPFB,wsu
2020-01-21,2020,1,21,844.11,KNFB,eas
2020-01-21,2020,1,21,1648.6,KNFB,wsu
2020-01-21,2020,1,21,2159.64,KPFB,eas
2020-01-21,2020,1,21,2608.73,KPFB,wsu
2020-01-22,2020,1,22,829.19,KNFB,eas
2020-01-22,2020,1,22,1672.3,KNFB,wsu
2020-01-22,2020,1,22,2127.54,KPFB,eas
2020-01-22,2020,1,22,2689.08,KPFB,wsu
2020-01-23,2020,1,23,835.29,KNFB,eas
2020-01-23,2020,1,23,1701.42,KNFB,wsu
2020-01-23,2020,1,23,2146.78,KPFB,eas
2020-01-23,2020,1,23,2668.95,KPFB,wsu
2020-01-24,2020,1,24,838.75,KNFB,eas
2020-01-24,2020,1,24,1726.36,KNFB,wsu
2020-01-24,2020,1,24,2136.98,KPFB,eas
2020-01-24,2020,1,24,2626.87,KPFB,wsu
2020-01-25,2020,1,25,842.74,KNFB,eas
2020-01-25,2020,1,25,1727.44,KNFB,wsu
2020-01-25,2020,1,25,2099.83,KPFB,eas
2020-01-25,2020,1,25,2671.14,KPFB,wsu
2020-01-26,2020,1,26,854.83,KNFB,eas
2020-01-26,2020,1,26,1725.88,KNFB,wsu
