date,series_id,meas
2020-01-01,KNFB,2397.0
2020-01-02,KNFB,2400.55
2020-01-03,KNFB,2403.63
2020-01-04,KNFB,2409.93
2020-01-05,KNFB,2416.05
2020-01-06,KNFB,2422.51
2020-01-07,KNFB,2428.85
2020-01-08,KNFB,2435.18
2020-01-09,KNFB,2441.68
2020-01-10,KNFB,2448.62
2020-01-11,KNFB,2455.06
2020-01-12,KNFB,2461.54
2020-01-13,KNFB,2468.02
2020-01-14,KNFB,2474.9
2020-01-15,KNFB,2481.09
2020-01-16,KNFB,2487.69
2020-01-17,KNFB,2493.92
2020-01-18,KNFB,2500.43
2020-01-19,KNFB,2506.68
2020-01-20,KNFB,2512.88
2020-01-21,KNFB,2519.41
2020-01-22,KNFB,2526.33
2020-01-23,KNFB,2533.35
2020-01-24,KNFB,2540.42
2020-01-25,KNFB,2547.28
2020-01-26,KNFB,2553.88
2020-01-27,KNFB,2560.01
2020-01-28,KNFB,2566.42
2020-01-29,KNFB,2572.81
2020-01-30,KNFB,2579.16
2020-01-31,KNFB,2585.59
2020-02-01,KNFB,2593.25
2020-02-02,KNFB,2601.12
2020-02-03,KNFB,2609.64
2020-02-04,KNFB,2618.43
2020-02-05,KNFB,2627.39
2020-02-06,KNFB,2636.44
2020-02-07,KNFB,2644.76
2020-02-08,KNFB,2652.97
2020-02-09,KNFB,2661.43
2020-02-10,KNFB,2670.42
2020-02-11,KNFB,2679.23
2020-02-12,KNFB,2688.04
2020-02-13,KNFB,2697.31
2020-02-14,KNFB,2706.18
2020-02-15,KNFB,2715.24
2020-02-16,KNFB,2723.75
2020-02-17,KNFB,2732.87
2020-02-18,KNFB,2741.11
2020-02-19,KNFB,2750.54
2020-02-20,KNFB,2759.31
2020-02-21,KNFB,2767.86
2020-02-22,KNFB,2776.78
2020-02-23,KNFB,2785.72
2020-02-24,KNFB,2794.18
2020-02-25,KNFB,2802.2
2020-02-26,KNFB,2810.96
2020-02-27,KNFB,2819.41
2020-02-28,KNFB,2827.83
2020-02-29,KNFB,2836.27
2020-03-01,KNFB,2845.38
2020-03-02,KNFB,2854.39
2020-03-03,KNFB,2863.37
2020-03-04,KNFB,2873.11
2020-03-05,KNFB,2882.39
2020-03-06,KNFB,2891.89
2020-03-07,KNFB,2901.29
2020-03-08,KNFB,2910.64
2020-03-09,KNFB,2920.26
2020-03-10,KNFB,2930.02
2020-03-11,KNFB,2939.3
2020-03-12,KNFB,2948.75
2020-03-13,KNFB,2958.62
2020-03-14,KNFB,2967.32
2020-03-15,KNFB,2976.2
2020-03-16,KNFB,2985.16
2020-03-17,KNFB,2994.45
2020-03-18,KNFB,3002.81
2020-03-19,KNFB,3012.48
2020-03-20,KNFB,3022.46
2020-03-21,KNFB,3032.36
2020-03-22,KNFB,3041.31
2020-03-23,KNFB,3050.69
2020-03-24,KNFB,3059.98
2020-03-25,KNFB,3068.99
2020-03-26,KNFB,3077.78
2020-03-27,KNFB,3087.03
2020-03-28,KNFB,3097.1
2020-03-29,KNFB,3106.17
2020-03-30,KNFB,3115.65
2020-03-31,KNFB,3125.12
2020-04-01,KNFB,3133.64
2020-04-02,KNFB,3141.14
2020-04-03,KNFB,3148.28
2020-04-04,KNFB,3154.43
2020-04-05,KNFB,3160.58
2020-04-06,KNFB,3167.2
2020-04-07,KNFB,3173.67
2020-04-08,KNFB,3180.55
2020-04-09,KNFB,3187.37
2020-04-10,KNFB,3194.14
2020-04-11,KNFB,3200.88
2020-04-12,KNFB,3207.87
2020-04-13,KNFB,3214.46
2020-04-14,KNFB,3220.86
2020-04-15,KNFB,3227.62
2020-04-16,KNFB,3233.71
2020-04-17,KNFB,3239.85
2020-04-18,KNFB,3246.34
2020-04-19,KNFB,3253.27
2020-04-20,KNFB,3260.4
2020-04-21,KNFB,3267.75
2020-04-22,KNFB,3274.97
2020-04-23,KNFB,3281.9
2020-04-24,KNFB,3288.82
2020-04-25,KNFB,3294.38
2020-04-26,KNFB,3300.78
2020-04-27,KNFB,3307.06
2020-04-28,KNFB,3313.67
2020-04-29,KNFB,3319.85
2020-04-30,KNFB,3326.52
2020-05-01,KNFB,3332.64
2020-05-02,KNFB,3339.39
2020-05-03,KNFB,3345.31
2020-05-04,KNFB,3351.77
2020-05-05,KNFB,3358.14
2020-05-06,KNFB,3364.5
2020-05-07,KNFB,3370.08
2020-05-08,KNFB,3376.06
2020-05-09,KNFB,3381.93
2020-05-10,KNFB,3387.53
2020-05-11,KNFB,3393.21
2020-05-12,KNFB,3399.43
2020-05-13,KNFB,3405.33
2020-05-14,KNFB,3411.17
2020-05-15,KNFB,3417.83
2020-05-16,KNFB,3424.68
2020-05-17,KNFB,3431.12
2020-05-18,KNFB,3437.94
2020-05-19,KNFB,3444.09
2020-05-20,KNFB,3450.65
2020-05-21,KNFB,3456.34
2020-05-22,KNFB,3461.68
2020-05-23,KNFB,3467.47
2020-05-24,KNFB,3473.55
2020-05-25,KNFB,3479.1
2020-05-26,KNFB,3485.19
2020-05-27,KNFB,3492.03
2020-05-28,KNFB,3498.39
2020-05-29,KNFB,3504.88
2020-05-30,KNFB,3511.44
2020-05-31,KNFB,3517.14
2020-06-01,KNFB,3522.53
2020-06-02,KNFB,3527.55
2020-06-03,KNFB,3532.67
2020-06-04,KNFB,3537.36
2020-06-05,KNFB,3542.96
2020-06-06,KNFB,3548.24
2020-06-07,KNFB,3553.46
2020-06-08,KNFB,3558.31
2020-06-09,KNFB,3563.61
2020-06-10,KNFB,3568.76
2020-06-11,KNFB,3573.54
